date,ticker,price
2024-01-01,AAPL,149.26207518412076
2024-01-02,AAPL,149.54767538335065
2024-01-03,AAPL,149.63839419318862
2024-01-04,AAPL,150.05880788182353
2024-01-05,AAPL,149.32519273840273
2024-01-06,AAPL,150.03736872698525
2024-01-07,AAPL,150.83093584207543
2024-01-08,AAPL,151.3461417678653
2024-01-09,AAPL,150.83312115808457
2024-01-10,AAPL,149.04855040179365
2024-01-11,AAPL,147.37290787278545
2024-01-12,AAPL,146.37478041016755
2024-01-13,AAPL,145.645132324541
2024-01-14,AAPL,146.4463816573777
2024-01-15,AAPL,147.33509248585756
2024-01-16,AAPL,148.38406449898716
2024-01-17,AAPL,148.94816805007486
2024-01-18,AAPL,148.92128443343768
2024-01-19,AAPL,147.46741132125385
2024-01-20,AAPL,146.67051232579132
